Key,Category,Original_ZH,Original_EN,Current_ZH,Current_EN
notification.post_excerpt,notification,Post Excerpt,Post Excerpt,Post Excerpt,Post Excerpt
notification.prime_footer,notification,Prime Footer,Prime Footer,Prime Footer,Prime Footer
notification.prime_title,notification,Prime Title,Prime Title,Prime Title,Prime Title
notification.product,notification,Product,Product,Product,Product
notification.project,notification,Project,Project,Project,Project
notification.rate_prompt,notification,Rate Prompt,Rate Prompt,Rate Prompt,Rate Prompt
notification.reason,notification,Reason,Reason,Reason,Reason
notification.referral_title,notification,Referral Title,Referral Title,Referral Title,Referral Title
notification.replied_with,notification,Replied With,Replied With,Replied With,Replied With
notification.reply_title,notification,Reply Title,Reply Title,Reply Title,Reply Title
notification.security_footer,notification,Security Footer,Security Footer,Security Footer,Security Footer
notification.security_title,notification,Security Title,Security Title,Security Title,Security Title
notification.ship_eta,notification,Ship Eta,Ship Eta,Ship Eta,Ship Eta
notification.signed_at,notification,Signed At,Signed At,Signed At,Signed At
notification.starts_at,notification,Starts At,Starts At,Starts At,Starts At
notification.status,notification,Status,Status,Status,Status
notification.time,notification,Time,Time,Time,Time
notification.type,notification,Type,Type,Type,Type
notification.withdrawal_title,notification,Withdrawal Title,Withdrawal Title,Withdrawal Title,Withdrawal Title
ordercenter.artisan_wireless_earbuds,ordercenter,Artisan Wireless Earbuds,Artisan Wireless Earbuds,Artisan Wireless Earbuds,Artisan Wireless Earbuds
ordercenter.order_id,ordercenter,Order Id,Order Id,Order Id,Order Id
perk.ai_pts_desc,perk,Ai Pts Desc,Ai Pts Desc,Ai Pts Desc,Ai Pts Desc
perk.ai_pts_subtitle,perk,Ai Pts Subtitle,Ai Pts Subtitle,Ai Pts Subtitle,Ai Pts Subtitle
perk.ai_pts_title,perk,Ai Pts Title,Ai Pts Title,Ai Pts Title,Ai Pts Title
perk.go_center,perk,Go Center,Go Center,Go Center,Go Center
perk.kol_subtitle,perk,Kol Subtitle,Kol Subtitle,Kol Subtitle,Kol Subtitle
perk.kol_title,perk,Kol Title,Kol Title,Kol Title,Kol Title
perk.renewal_subtitle,perk,Renewal Subtitle,Renewal Subtitle,Renewal Subtitle,Renewal Subtitle
perk.renewal_title,perk,Renewal Title,Renewal Title,Renewal Title,Renewal Title
perk.view_rights,perk,View Rights,View Rights,View Rights,View Rights
points.exchange_success,points,Exchange Success,Exchange Success,Exchange Success,Exchange Success
points.no_eligible_plans,points,No Eligible Plans,No Eligible Plans,No Eligible Plans,No Eligible Plans
points.select_plan_to_renew,points,Select Plan To Renew,Select Plan To Renew,Select Plan To Renew,Select Plan To Renew
prime.active_member,prime,Active Member,Active Member,Active Member,Active Member
product.name,product,Name,Name,Name,Name
product.price_curve_title,product,Price Curve Title,Price Curve Title,Price Curve Title,Price Curve Title
profile.level_v1,profile,Level V1,Level V1,Level V1,Level V1
ranking,ranking,Ranking,Ranking,Ranking,Ranking
reward.all_details,reward,All Details,All Details,All Details,All Details
salon,salon,Salon,Salon,Salon,Salon
scan,scan,Scan,Scan,Scan,Scan
security.dual_notice,security,Dual Notice,Dual Notice,Dual Notice,Dual Notice
security.dual_step,security,Dual Step,Dual Step,Dual Step,Dual Step
security.verify_backup_email,security,Verify Backup Email,Verify Backup Email,Verify Backup Email,Verify Backup Email
security.verify_primary_email,security,Verify Primary Email,Verify Primary Email,Verify Primary Email,Verify Primary Email
settings,settings,Settings,Settings,Settings,Settings
settings.about,settings,About,About,About,About
settings.clear_confirm_desc,settings,Clear Confirm Desc,Clear Confirm Desc,Clear Confirm Desc,Clear Confirm Desc
settings.memory_bank,settings,Memory Bank,Memory Bank,Memory Bank,Memory Bank
share.tip_copy,share,Tip Copy,Tip Copy,Tip Copy,Tip Copy
share.tip_discord,share,Tip Discord,Tip Discord,Tip Discord,Tip Discord
share.tip_feishu,share,Tip Feishu,Tip Feishu,Tip Feishu,Tip Feishu
share.tip_group_buy,share,Tip Group Buy,Tip Group Buy,Tip Group Buy,Tip Group Buy
share.tip_invite,share,Tip Invite,Tip Invite,Tip Invite,Tip Invite
share.tip_merchant,share,Tip Merchant,Tip Merchant,Tip Merchant,Tip Merchant
share.tip_product,share,Tip Product,Tip Product,Tip Product,Tip Product
share.tip_telegram,share,Tip Telegram,Tip Telegram,Tip Telegram,Tip Telegram
share.tip_whatsapp,share,Tip Whatsapp,Tip Whatsapp,Tip Whatsapp,Tip Whatsapp
square.group_hardware,square,极客硬件群,Group Hardware,极客硬件群,Group Hardware
square.unit_k,square,万,Unit K,万,Unit K
supplier.ai_insight_full,supplier,Ai Insight Full,Ai Insight Full,Ai Insight Full,Ai Insight Full
supplier.gallery_product_1,supplier,Gallery Product 1,Gallery Product 1,Gallery Product 1,Gallery Product 1
supplier.gallery_product_10,supplier,Gallery Product 10,Gallery Product 10,Gallery Product 10,Gallery Product 10
supplier.gallery_product_2,supplier,Gallery Product 2,Gallery Product 2,Gallery Product 2,Gallery Product 2
supplier.gallery_product_3,supplier,Gallery Product 3,Gallery Product 3,Gallery Product 3,Gallery Product 3
supplier.gallery_product_4,supplier,Gallery Product 4,Gallery Product 4,Gallery Product 4,Gallery Product 4
supplier.gallery_product_5,supplier,Gallery Product 5,Gallery Product 5,Gallery Product 5,Gallery Product 5
supplier.gallery_product_6,supplier,Gallery Product 6,Gallery Product 6,Gallery Product 6,Gallery Product 6
supplier.gallery_product_7,supplier,Gallery Product 7,Gallery Product 7,Gallery Product 7,Gallery Product 7
supplier.gallery_product_8,supplier,Gallery Product 8,Gallery Product 8,Gallery Product 8,Gallery Product 8
supplier.gallery_product_9,supplier,Gallery Product 9,Gallery Product 9,Gallery Product 9,Gallery Product 9
supplier.matching_product_1,supplier,Matching Product 1,Matching Product 1,Matching Product 1,Matching Product 1
supplier.matching_product_2,supplier,Matching Product 2,Matching Product 2,Matching Product 2,Matching Product 2
supplier.matching_product_3,supplier,Matching Product 3,Matching Product 3,Matching Product 3,Matching Product 3
supplier.tag_custom_crafts,supplier,Tag Custom Crafts,Tag Custom Crafts,Tag Custom Crafts,Tag Custom Crafts
supplier.tag_night_lights,supplier,Tag Night Lights,Tag Night Lights,Tag Night Lights,Tag Night Lights
supplier.tag_wooden_base,supplier,Tag Wooden Base,Tag Wooden Base,Tag Wooden Base,Tag Wooden Base
supplier.tag_wooden_diffuser,supplier,Tag Wooden Diffuser,Tag Wooden Diffuser,Tag Wooden Diffuser,Tag Wooden Diffuser
supplier.tag_wooden_frame,supplier,Tag Wooden Frame,Tag Wooden Frame,Tag Wooden Frame,Tag Wooden Frame
supplieranalysis.customization,supplieranalysis,Customization,Customization,Customization,Customization
supplieranalysis.floor_space,supplieranalysis,Floor Space,Floor Space,Floor Space,Floor Space
supplieranalysis.huizhou_renhe_profile,supplieranalysis,Huizhou Renhe Profile,Huizhou Renhe Profile,Huizhou Renhe Profile,Huizhou Renhe Profile
supplieranalysis.wood_crafts,supplieranalysis,Wood Crafts,Wood Crafts,Wood Crafts,Wood Crafts
supplieranalysis.wooden_boxes,supplieranalysis,Wooden Boxes,Wooden Boxes,Wooden Boxes,Wooden Boxes
tracking.current_location_mock,tracking,Current Location Mock,Current Location Mock,Current Location Mock,Current Location Mock
tracking.delivered,tracking,Delivered,Delivered,Delivered,Delivered
tracking.order_placed,tracking,Order Placed,Order Placed,Order Placed,Order Placed
tracking.picked_up,tracking,Picked Up,Picked Up,Picked Up,Picked Up
tracking.product_desc,tracking,Product Desc,Product Desc,Product Desc,Product Desc
tracking.recipient_location,tracking,Recipient Location,Recipient Location,Recipient Location,Recipient Location
tracking.recipient_name,tracking,Recipient Name,Recipient Name,Recipient Name,Recipient Name
tracking.shipped,tracking,Shipped,Shipped,Shipped,Shipped
tracking.timeline_desc_1,tracking,Timeline Desc 1,Timeline Desc 1,Timeline Desc 1,Timeline Desc 1
tracking.timeline_desc_2,tracking,Timeline Desc 2,Timeline Desc 2,Timeline Desc 2,Timeline Desc 2
tracking.timeline_desc_3,tracking,Timeline Desc 3,Timeline Desc 3,Timeline Desc 3,Timeline Desc 3
tracking.timeline_desc_4,tracking,Timeline Desc 4,Timeline Desc 4,Timeline Desc 4,Timeline Desc 4
tracking.timeline_desc_5,tracking,Timeline Desc 5,Timeline Desc 5,Timeline Desc 5,Timeline Desc 5
tracking.timeline_desc_6,tracking,Timeline Desc 6,Timeline Desc 6,Timeline Desc 6,Timeline Desc 6
tracking.timeline_desc_7,tracking,Timeline Desc 7,Timeline Desc 7,Timeline Desc 7,Timeline Desc 7
tracking.timeline_desc_8,tracking,Timeline Desc 8,Timeline Desc 8,Timeline Desc 8,Timeline Desc 8
tracking.warehouse_processing,tracking,Warehouse Processing,Warehouse Processing,Warehouse Processing,Warehouse Processing
tracking.warehouse_received,tracking,Warehouse Received,Warehouse Received,Warehouse Received,Warehouse Received
verified_artisan,verified_artisan,Verified Artisan,Verified Artisan,Verified Artisan,Verified Artisan
voucher.empty_prefix,voucher,Empty Prefix,Empty Prefix,Empty Prefix,Empty Prefix
wallet.exchange_action,wallet,Exchange Action,Exchange Action,Exchange Action,Exchange Action
